
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:5E:1B:78:00:7A, 2025-07-23 13:07:49, 2025-07-23 13:07:55,  6, 130, WPA2, CCMP, PSK, -76,       10,        4,   0.  0.  0.  0,   9, Jems wifi, 
F4:6B:EF:8E:3A:13, 2025-07-23 13:07:49, 2025-07-23 13:07:56, 13, 130, WPA2, CCMP, PSK, -88,        9,        0,   0.  0.  0.  0,  13, Telstra8E3A0D, 
8E:90:2D:48:4A:C4, 2025-07-23 13:07:49, 2025-07-23 13:07:57,  3, 360, WPA2, CCMP, PSK, -59,       26,        0,   0.  0.  0.  0,   0, , 
8E:90:2D:58:4A:C4, 2025-07-23 13:07:49, 2025-07-23 13:07:57,  3, 360, WPA2, CCMP, PSK, -59,       22,        0,   0.  0.  0.  0,   0, , 
F0:9F:C2:D4:94:C6, 2025-07-23 13:07:49, 2025-07-23 13:07:57,  8, 195, WPA2, CCMP, PSK, -85,        8,        0,   0.  0.  0.  0,   6, Buller, 
8C:90:2D:A8:4A:C4, 2025-07-23 13:07:50, 2025-07-23 13:07:57,  3, 360, WPA2, CCMP, PSK, -58,       22,        0,   0.  0.  0.  0,  12, TP-Link_4AC4, 
3C:84:6A:07:CB:70, 2025-07-23 13:07:50, 2025-07-23 13:07:58, 10, 130, WPA2, CCMP, PSK, -48,       17,        4,   0.  0.  0.  0,   9, WiFi-CB70, 
7C:8B:CA:73:87:DC, 2025-07-23 13:07:51, 2025-07-23 13:07:58,  4, 270, WPA2, CCMP, PSK, -87,        5,        0,   0.  0.  0.  0,   9, WiFi-87DC, 
56:2A:1B:8B:2D:FD, 2025-07-23 13:07:51, 2025-07-23 13:07:51,  4,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
F0:9F:C2:D4:44:52, 2025-07-23 13:07:51, 2025-07-23 13:07:55,  6, 195, WPA2, CCMP, PSK, -79,        7,        1,   0.  0.  0.  0,   6, Buller, 
E4:5E:1B:72:EC:4A, 2025-07-23 13:07:51, 2025-07-23 13:07:55,  6, 130, WPA2, CCMP, PSK, -83,        6,        0,   0.  0.  0.  0,   9, Jems wifi, 
B0:E4:D5:5D:5B:15, 2025-07-23 13:07:51, 2025-07-23 13:07:58, 11, 130, WPA2, CCMP, PSK, -70,       10,        0,   0.  0.  0.  0,   9, Jems wifi, 
F6:9F:C2:D4:44:52, 2025-07-23 13:07:52, 2025-07-23 13:07:55,  6, 195, WPA2, CCMP, PSK, -80,        4,        0,   0.  0.  0.  0,   0, , 
F0:9F:C2:D4:46:B3, 2025-07-23 13:07:52, 2025-07-23 13:07:52,  6, 195, WPA2, CCMP, PSK, -89,        2,        0,   0.  0.  0.  0,   6, Buller, 
F6:9F:C2:D4:46:B3, 2025-07-23 13:07:52, 2025-07-23 13:07:55,  6, 195, WPA2, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,   0, , 
F2:9F:C2:D4:94:C6, 2025-07-23 13:07:53, 2025-07-23 13:07:57,  8, 195, WPA2, CCMP, PSK, -85,        5,        0,   0.  0.  0.  0,   0, , 
D8:A7:56:29:6C:CE, 2025-07-23 13:07:56, 2025-07-23 13:07:56,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
8C:C8:4B:3C:34:C9, 2025-07-23 13:07:52, 2025-07-23 13:07:55, -68,        4, E4:5E:1B:78:00:7A,Jems wifi
60:09:C3:CC:37:05, 2025-07-23 13:07:58, 2025-07-23 13:07:58,  -1,        3, 7C:8B:CA:73:87:DC,
F8:A2:6D:1E:40:69, 2025-07-23 13:07:58, 2025-07-23 13:07:58,  -1,        1, 7C:8B:CA:73:87:DC,

